State,Season,Temperature,Rainfall,N,P,K,PH,Crop
Gujarat,Rabi,22.5,165.0,65,30,48,6.4,Gram
Gujarat,Rabi,21.0,160.0,55,26,42,6.3,Peas
Gujarat,Rabi,21.5,170.0,62,30,48,6.4,Lentil
Gujarat,Zaid,28.5,95.0,70,32,52,6.6,Watermelon
Gujarat,Zaid,29.0,90.0,68,33,51,6.5,Muskmelon
Gujarat,Zaid,28.0,85.0,65,30,50,6.5,Cucumber
Gujarat,Zaid,29.5,93.0,72,34,54,6.6,Tomato
Bihar,Kharif,32.0,880.0,90,40,60,6.8,Rice
Bihar,Kharif,31.5,820.0,85,38,58,6.7,Maize
Bihar,Kharif,30.0,780.0,50,30,40,6.6,Arhar
Bihar,Kharif,30.5,760.0,60,35,45,6.6,Groundnut
Bihar,Kharif,29.5,740.0,55,32,42,6.5,Jute
Bihar,Rabi,22.0,190.0,80,35,55,6.5,Wheat
Bihar,Rabi,21.5,180.0,72,32,50,6.4,Barley
Bihar,Rabi,21.0,170.0,60,28,45,6.3,Mustard
Bihar,Rabi,22.5,175.0,65,30,48,6.4,Gram
Bihar,Rabi,21.0,160.0,55,26,42,6.3,Peas
Bihar,Rabi,21.5,170.0,62,30,48,6.4,Lentil
Bihar,Zaid,28.5,95.0,70,32,52,6.6,Watermelon
Bihar,Zaid,29.0,90.0,68,33,51,6.5,Muskmelon
Bihar,Zaid,28.0,85.0,65,30,50,6.5,Cucumber
Bihar,Zaid,29.5,93.0,72,34,54,6.6,Tomato
West Bengal,Kharif,32.5,980.0,90,40,60,6.8,Rice
West Bengal,Kharif,31.0,920.0,85,38,58,6.7,Maize
West Bengal,Kharif,30.5,950.0,55,32,42,6.6,Jute
West Bengal,Kharif,30.0,880.0,60,35,45,6.6,Groundnut
West Bengal,Kharif,32.0,1000.0,120,50,80,6.8,Sugarcane
West Bengal,Rabi,22.0,190.0,80,35,55,6.5,Wheat
West Bengal,Rabi,21.5,180.0,72,32,50,6.4,Barley
West Bengal,Rabi,21.0,170.0,60,28,45,6.3,Mustard
West Bengal,Rabi,22.5,175.0,65,30,48,6.4,Gram
West Bengal,Rabi,21.0,160.0,55,26,42,6.3,Peas
West Bengal,Rabi,21.5,170.0,62,30,48,6.4,Lentil
West Bengal,Zaid,28.5,95.0,70,32,52,6.6,Watermelon
West Bengal,Zaid,29.0,90.0,68,33,51,6.5,Muskmelon
West Bengal,Zaid,28.0,85.0,65,30,50,6.5,Cucumber
West Bengal,Zaid,29.5,93.0,72,34,54,6.6,Tomato
Odisha,Kharif,32.0,1070.0,90,40,60,6.8,Rice
Odisha,Kharif,31.0,1020.0,85,38,58,6.7,Maize
Odisha,Kharif,30.5,980.0,60,35,45,6.6,Groundnut
Odisha,Kharif,32.5,990.0,75,36,55,6.6,Cotton
Odisha,Kharif,30.0,960.0,55,32,42,6.6,Jute
Odisha,Rabi,22.0,190.0,80,35,55,6.5,Wheat
Odisha,Rabi,21.5,180.0,72,32,50,6.4,Barley
Odisha,Rabi,21.0,170.0,60,28,45,6.3,Gram
Odisha,Rabi,22.5,175.0,65,30,48,6.4,Mustard
Odisha,Rabi,21.0,160.0,55,26,42,6.3,Peas
Odisha,Rabi,21.5,170.0,62,30,48,6.4,Lentil
Odisha,Zaid,28.5,95.0,70,32,52,6.6,Watermelon
Odisha,Zaid,29.0,90.0,68,33,51,6.5,Muskmelon
Odisha,Zaid,28.0,85.0,65,30,50,6.5,Cucumber
Odisha,Zaid,29.5,93.0,72,34,54,6.6,Tomato
Assam,Kharif,31.5,2100.0,90,40,60,6.8,Rice
Assam,Kharif,30.5,1950.0,85,38,58,6.7,Maize
Assam,Kharif,30.0,2000.0,55,32,42,6.6,Jute
Assam,Kharif,29.5,1900.0,60,35,45,6.6,Groundnut
Assam,Kharif,32.0,2200.0,120,50,80,6.8,Sugarcane
Assam,Kharif,28.0,1800.0,40,20,30,5.5,Tea
Assam,Rabi,22.0,190.0,80,35,55,6.5,Wheat
Assam,Rabi,21.5,180.0,72,32,50,6.4,Barley
Assam,Rabi,21.0,170.0,60,28,45,6.3,Mustard
Assam,Rabi,22.5,175.0,65,30,48,6.4,Gram
Assam,Rabi,21.0,160.0,55,26,42,6.3,Peas
Assam,Zaid,28.5,95.0,70,32,52,6.6,Watermelon
Assam,Zaid,29.0,90.0,68,33,51,6.5,Muskmelon
Assam,Zaid,28.0,85.0,65,30,50,6.5,Cucumber
Assam,Zaid,29.5,93.0,72,34,54,6.6,Tomato
Kerala,Kharif,30.5,2100.0,90,40,60,5.8,Rice
Kerala,Kharif,29.0,2000.0,40,20,50,5.5,Coconut
Kerala,Kharif,30.0,1900.0,60,35,45,5.6,Groundnut
Kerala,Kharif,31.0,1950.0,55,30,60,5.5,Banana
Kerala,Kharif,30.5,1850.0,50,25,40,5.4,Tapioca
Kerala,Rabi,28.5,180.0,85,38,58,5.8,Rice
Kerala,Rabi,27.0,160.0,35,18,48,5.5,Coconut
Kerala,Rabi,28.0,170.0,50,28,55,5.5,Banana
Kerala,Zaid,29.0,95.0,70,32,52,5.8,Watermelon
Kerala,Zaid,29.5,90.0,68,33,51,5.7,Muskmelon
Kerala,Zaid,28.5,88.0,66,31,50,5.7,Cucumber
Kerala,Zaid,29.5,93.0,72,34,54,5.8,Tomato
Kerala,Zaid,28.5,89.0,60,28,46,5.7,Okra
Tamil Nadu,Kharif,32.0,780.0,90,40,60,6.8,Rice
Tamil Nadu,Kharif,31.0,740.0,65,34,50,6.6,Groundnut
Tamil Nadu,Kharif,32.5,790.0,75,36,55,6.6,Cotton
Tamil Nadu,Kharif,31.5,720.0,82,38,58,6.6,Maize
Tamil Nadu,Kharif,33.0,850.0,120,50,80,6.8,Sugarcane
Tamil Nadu,Kharif,30.5,760.0,55,30,60,6.5,Banana
Tamil Nadu,Kharif,30.0,740.0,50,25,40,6.5,Tapioca
Tamil Nadu,Rabi,28.5,180.0,85,38,58,6.6,Rice
Tamil Nadu,Rabi,27.0,160.0,60,30,50,6.5,Groundnut
Tamil Nadu,Rabi,28.0,170.0,72,32,50,6.5,Cotton
Tamil Nadu,Rabi,27.5,165.0,55,28,45,6.5,Banana
Tamil Nadu,Zaid,29.0,95.0,70,32,52,6.6,Watermelon
Tamil Nadu,Zaid,29.5,90.0,68,33,51,6.5,Muskmelon
Tamil Nadu,Zaid,28.5,88.0,66,31,50,6.5,Cucumber
Tamil Nadu,Zaid,29.5,93.0,72,34,54,6.6,Tomato
Tamil Nadu,Zaid,28.5,89.0,60,28,46,6.5,Okra
Karnataka,Kharif,31.5,780.0,88,42,62,6.7,Rice
Karnataka,Kharif,31.0,760.0,82,38,58,6.6,Maize
Karnataka,Kharif,30.5,740.0,65,34,50,6.6,Groundnut
Karnataka,Kharif,32.0,790.0,75,36,55,6.6,Cotton
Karnataka,Kharif,33.0,850.0,120,50,80,6.8,Sugarcane
Karnataka,Kharif,30.0,720.0,60,30,46,6.5,Ragi
Karnataka,Kharif,30.5,700.0,58,32,48,6.5,Jowar
Karnataka,Rabi,22.0,190.0,80,35,55,6.5,Rice
Karnataka,Rabi,21.5,180.0,72,32,50,6.4,Maize
Karnataka,Rabi,21.0,170.0,60,28,45,6.3,Groundnut
Karnataka,Rabi,22.5,175.0,65,30,48,6.4,Cotton
Karnataka,Zaid,28.5,95.0,70,32,52,6.6,Watermelon
Karnataka,Zaid,29.0,90.0,68,33,51,6.5,Muskmelon
Karnataka,Zaid,28.0,85.0,65,30,50,6.5,Cucumber
Karnataka,Zaid,29.5,93.0,72,34,54,6.6,Tomato
Karnataka,Zaid,28.5,89.0,60,28,46,6.5,Okra
Andhra Pradesh,Kharif,32.0,980.0,90,40,60,6.8,Rice
Andhra Pradesh,Kharif,33.0,920.0,75,36,55,6.7,Cotton
Andhra Pradesh,Kharif,31.5,900.0,65,34,50,6.6,Groundnut
Andhra Pradesh,Kharif,30.5,880.0,82,38,58,6.6,Maize
Andhra Pradesh,Kharif,34.0,1050.0,120,50,80,6.8,Sugarcane
Andhra Pradesh,Kharif,31.0,940.0,55,30,60,6.5,Banana
Andhra Pradesh,Rabi,28.5,180.0,85,38,58,6.6,Rice
Andhra Pradesh,Rabi,27.0,160.0,72,32,50,6.5,Cotton
Andhra Pradesh,Rabi,28.0,170.0,60,30,50,6.5,Groundnut
Andhra Pradesh,Rabi,27.5,165.0,55,28,45,6.5,Banana
Andhra Pradesh,Zaid,29.0,95.0,70,32,52,6.6,Watermelon
Andhra Pradesh,Zaid,29.5,90.0,68,33,51,6.5,Muskmelon
Andhra Pradesh,Zaid,28.5,88.0,66,31,50,6.5,Cucumber
Andhra Pradesh,Zaid,29.5,93.0,72,34,54,6.6,Tomato
Andhra Pradesh,Zaid,28.5,89.0,60,28,46,6.5,Okra
Telangana,Kharif,32.0,950.0,90,40,60,6.8,Rice
Telangana,Kharif,33.0,910.0,75,36,55,6.7,Cotton
Telangana,Kharif,31.5,890.0,65,34,50,6.6,Groundnut
Telangana,Kharif,30.5,870.0,82,38,58,6.6,Maize
Telangana,Kharif,34.0,1020.0,120,50,80,6.8,Sugarcane
Telangana,Kharif,31.0,880.0,88,42,62,6.7,Soybean
Telangana,Rabi,28.5,180.0,85,38,58,6.6,Rice
Telangana,Rabi,27.0,160.0,72,32,50,6.5,Cotton
Telangana,Rabi,28.0,170.0,60,30,50,6.5,Groundnut
Telangana,Zaid,29.0,95.0,70,32,52,6.6,Watermelon
Telangana,Zaid,29.5,90.0,68,33,51,6.5,Muskmelon
Telangana,Zaid,28.5,88.0,66,31,50,6.5,Cucumber
Telangana,Zaid,29.5,93.0,72,34,54,6.6,Tomato
Telangana,Zaid,28.5,89.0,60,28,46,6.5,Okra
Chhattisgarh,Kharif,32.0,1100.0,90,40,60,6.8,Rice
Chhattisgarh,Kharif,31.5,1050.0,85,38,58,6.7,Maize
Chhattisgarh,Kharif,30.5,1020.0,88,42,62,6.7,Soybean
Chhattisgarh,Kharif,30.0,980.0,65,34,50,6.6,Groundnut
Chhattisgarh,Kharif,30.5,960.0,58,32,48,6.5,Jowar
Chhattisgarh,Rabi,22.0,190.0,80,35,55,6.5,Wheat
Chhattisgarh,Rabi,21.5,180.0,72,32,50,6.4,Barley
Chhattisgarh,Rabi,21.0,170.0,60,28,45,6.3,Gram
Chhattisgarh,Rabi,22.5,175.0,65,30,48,6.4,Mustard
Chhattisgarh,Rabi,21.0,160.0,55,26,42,6.3,Peas
Chhattisgarh,Zaid,28.5,95.0,70,32,52,6.6,Watermelon
Chhattisgarh,Zaid,29.0,90.0,68,33,51,6.5,Muskmelon
Chhattisgarh,Zaid,28.0,85.0,65,30,50,6.5,Cucumber
Chhattisgarh,Zaid,29.5,93.0,72,34,54,6.6,Tomato
Jharkhand,Kharif,31.5,1100.0,90,40,60,6.5,Rice
Jharkhand,Kharif,30.5,1050.0,85,38,58,6.4,Maize
Jharkhand,Kharif,30.0,1020.0,65,34,50,6.3,Groundnut
Jharkhand,Kharif,30.5,980.0,55,32,42,6.3,Jute
Jharkhand,Kharif,29.5,960.0,50,30,40,6.2,Arhar
Jharkhand,Rabi,22.0,190.0,80,35,55,6.5,Wheat
Jharkhand,Rabi,21.5,180.0,72,32,50,6.4,Barley
Jharkhand,Rabi,21.0,170.0,60,28,45,6.3,Mustard
Jharkhand,Rabi,22.5,175.0,65,30,48,6.4,Gram
Jharkhand,Rabi,21.0,160.0,55,26,42,6.3,Peas
Jharkhand,Zaid,28.5,95.0,70,32,52,6.6,Watermelon
Jharkhand,Zaid,29.0,90.0,68,33,51,6.5,Muskmelon
Jharkhand,Zaid,28.0,85.0,65,30,50,6.5,Cucumber
Jharkhand,Zaid,29.5,93.0,72,34,54,6.6,Tomato
Uttarakhand,Kharif,30.5,950.0,90,40,60,6.6,Rice
Uttarakhand,Kharif,29.5,900.0,85,38,58,6.5,Maize
Uttarakhand,Kharif,29.0,880.0,65,34,50,6.4,Groundnut
Uttarakhand,Kharif,28.5,860.0,60,30,46,6.3,Ragi
Uttarakhand,Kharif,30.0,890.0,88,42,62,6.5,Soybean
Uttarakhand,Rabi,22.0,190.0,80,35,55,6.5,Wheat
Uttarakhand,Rabi,21.5,180.0,72,32,50,6.4,Barley
Uttarakhand,Rabi,21.0,170.0,60,28,45,6.3,Mustard
Uttarakhand,Rabi,22.5,175.0,65,30,48,6.4,Gram
Uttarakhand,Rabi,21.0,160.0,55,26,42,6.3,Peas
Uttarakhand,Zaid,28.5,95.0,70,32,52,6.6,Watermelon
Uttarakhand,Zaid,29.0,90.0,68,33,51,6.5,Muskmelon
Uttarakhand,Zaid,28.0,85.0,65,30,50,6.5,Cucumber
Uttarakhand,Zaid,29.5,93.0,72,34,54,6.6,Tomato
Himachal Pradesh,Kharif,28.5,850.0,90,40,60,6.2,Rice
Himachal Pradesh,Kharif,27.5,820.0,85,38,58,6.1,Maize
Himachal Pradesh,Kharif,27.0,800.0,65,34,50,6.0,Groundnut
Himachal Pradesh,Kharif,22.0,780.0,40,20,30,5.5,Apple
Himachal Pradesh,Kharif,23.0,760.0,35,18,28,5.6,Peach
Himachal Pradesh,Kharif,23.5,740.0,30,16,26,5.6,Plum
Himachal Pradesh,Rabi,20.5,180.0,80,35,55,6.3,Wheat
Himachal Pradesh,Rabi,20.0,170.0,72,32,50,6.2,Barley
Himachal Pradesh,Rabi,19.5,160.0,60,28,45,6.1,Mustard
Himachal Pradesh,Rabi,21.0,175.0,65,30,48,6.2,Gram
Himachal Pradesh,Rabi,20.0,160.0,55,26,42,6.1,Peas
Himachal Pradesh,Zaid,27.5,95.0,70,32,52,6.4,Watermelon
Himachal Pradesh,Zaid,28.0,90.0,68,33,51,6.3,Muskmelon
Himachal Pradesh,Zaid,27.0,85.0,65,30,50,6.3,Cucumber
Himachal Pradesh,Zaid,28.5,93.0,72,34,54,6.4,Tomato
Jammu & Kashmir,Kharif,28.5,850.0,90,40,60,6.2,Rice
Jammu & Kashmir,Kharif,27.5,820.0,85,38,58,6.1,Maize
Jammu & Kashmir,Kharif,27.0,800.0,65,34,50,6.0,Groundnut
Jammu & Kashmir,Kharif,22.0,780.0,40,20,30,5.5,Apple
Jammu & Kashmir,Kharif,23.0,760.0,35,18,28,5.6,Pear
Jammu & Kashmir,Kharif,23.5,740.0,30,16,26,5.6,Plum
Jammu & Kashmir,Rabi,20.5,180.0,80,35,55,6.3,Wheat
Jammu & Kashmir,Rabi,20.0,170.0,72,32,50,6.2,Barley
Jammu & Kashmir,Rabi,19.5,160.0,60,28,45,6.1,Mustard
Jammu & Kashmir,Rabi,21.0,175.0,65,30,48,6.2,Gram
Jammu & Kashmir,Rabi,20.0,160.0,55,26,42,6.1,Peas
Jammu & Kashmir,Zaid,27.5,95.0,70,32,52,6.4,Watermelon
Jammu & Kashmir,Zaid,28.0,90.0,68,33,51,6.3,Muskmelon
Jammu & Kashmir,Zaid,27.0,85.0,65,30,50,6.3,Cucumber
Jammu & Kashmir,Zaid,28.5,93.0,72,34,54,6.4,Tomato
Arunachal Pradesh,Kharif,30.5,1950.0,90,40,60,5.8,Rice
Arunachal Pradesh,Kharif,29.5,1900.0,85,38,58,5.7,Maize
Arunachal Pradesh,Kharif,29.0,1850.0,65,34,50,5.6,Groundnut
Arunachal Pradesh,Kharif,28.5,1800.0,60,30,46,5.5,Millet
Arunachal Pradesh,Kharif,30.0,1880.0,88,42,62,5.7,Soybean
Arunachal Pradesh,Rabi,22.0,190.0,80,35,55,5.9,Wheat
Arunachal Pradesh,Rabi,21.5,180.0,72,32,50,5.8,Barley
Arunachal Pradesh,Rabi,21.0,170.0,60,28,45,5.7,Mustard
Arunachal Pradesh,Rabi,22.5,175.0,65,30,48,5.8,Gram
Arunachal Pradesh,Rabi,21.0,160.0,55,26,42,5.7,Peas
Arunachal Pradesh,Zaid,28.5,95.0,70,32,52,5.9,Watermelon
Arunachal Pradesh,Zaid,29.0,90.0,68,33,51,5.8,Muskmelon
Arunachal Pradesh,Zaid,28.0,85.0,65,30,50,5.8,Cucumber
Arunachal Pradesh,Zaid,29.5,93.0,72,34,54,5.9,Tomato
Nagaland,Kharif,30.5,1800.0,90,40,60,5.9,Rice
Nagaland,Kharif,29.5,1750.0,85,38,58,5.8,Maize
Nagaland,Kharif,29.0,1700.0,65,34,50,5.7,Groundnut
Nagaland,Kharif,28.5,1650.0,60,30,46,5.6,Millet
Nagaland,Rabi,22.0,190.0,80,35,55,5.9,Wheat
Nagaland,Rabi,21.5,180.0,72,32,50,5.8,Barley
Nagaland,Rabi,21.0,170.0,60,28,45,5.7,Mustard
Nagaland,Rabi,22.5,175.0,65,30,48,5.8,Gram
Nagaland,Rabi,21.0,160.0,55,26,42,5.7,Peas
Nagaland,Zaid,28.5,95.0,70,32,52,5.9,Watermelon
Nagaland,Zaid,29.0,90.0,68,33,51,5.8,Muskmelon
Nagaland,Zaid,28.0,85.0,65,30,50,5.8,Cucumber
Nagaland,Zaid,29.5,93.0,72,34,54,5.9,Tomato
Manipur,Kharif,30.5,1800.0,90,40,60,5.9,Rice
Manipur,Kharif,29.5,1750.0,85,38,58,5.8,Maize
Manipur,Kharif,29.0,1700.0,65,34,50,5.7,Groundnut
Manipur,Kharif,28.5,1650.0,60,30,46,5.6,Millet
Manipur,Rabi,22.0,190.0,80,35,55,5.9,Wheat
Manipur,Rabi,21.5,180.0,72,32,50,5.8,Barley
Manipur,Rabi,21.0,170.0,60,28,45,5.7,Mustard
Manipur,Rabi,22.5,175.0,65,30,48,5.8,Gram
Manipur,Rabi,21.0,160.0,55,26,42,5.7,Peas
Manipur,Zaid,28.5,95.0,70,32,52,5.9,Watermelon
Manipur,Zaid,29.0,90.0,68,33,51,5.8,Muskmelon
Manipur,Zaid,28.0,85.0,65,30,50,5.8,Cucumber
Manipur,Zaid,29.5,93.0,72,34,54,5.9,Tomato
Mizoram,Kharif,30.5,2200.0,90,40,60,5.8,Rice
Mizoram,Kharif,29.5,2150.0,85,38,58,5.7,Maize
Mizoram,Kharif,29.0,2100.0,65,34,50,5.6,Groundnut
Mizoram,Kharif,28.5,2050.0,60,30,46,5.5,Millet
Mizoram,Rabi,22.0,190.0,80,35,55,5.9,Wheat
Mizoram,Rabi,21.5,180.0,72,32,50,5.8,Barley
Mizoram,Rabi,21.0,170.0,60,28,45,5.7,Mustard
Mizoram,Rabi,22.5,175.0,65,30,48,5.8,Gram
Mizoram,Rabi,21.0,160.0,55,26,42,5.7,Peas
Mizoram,Zaid,28.5,95.0,70,32,52,5.9,Watermelon
Mizoram,Zaid,29.0,90.0,68,33,51,5.8,Muskmelon
Mizoram,Zaid,28.0,85.0,65,30,50,5.8,Cucumber
Mizoram,Zaid,29.5,93.0,72,34,54,5.9,Tomato
Tripura,Kharif,31.5,2200.0,90,40,60,6.0,Rice
Tripura,Kharif,30.5,2150.0,85,38,58,5.9,Maize
Tripura,Kharif,30.0,2100.0,65,34,50,5.8,Groundnut
Tripura,Kharif,29.5,2050.0,55,32,42,5.8,Jute
Tripura,Kharif,32.0,2300.0,120,50,80,6.1,Sugarcane
Tripura,Rabi,22.0,190.0,80,35,55,6.0,Wheat
Tripura,Rabi,21.5,180.0,72,32,50,5.9,Barley
Tripura,Rabi,21.0,170.0,60,28,45,5.8,Mustard
Tripura,Rabi,22.5,175.0,65,30,48,5.9,Gram
Tripura,Rabi,21.0,160.0,55,26,42,5.8,Peas
Tripura,Zaid,28.5,95.0,70,32,52,6.0,Watermelon
Tripura,Zaid,29.0,90.0,68,33,51,5.9,Muskmelon
Tripura,Zaid,28.0,85.0,65,30,50,5.9,Cucumber
Tripura,Zaid,29.5,93.0,72,34,54,6.0,Tomato
Meghalaya,Kharif,30.5,2200.0,90,40,60,5.8,Rice
Meghalaya,Kharif,29.5,2150.0,85,38,58,5.7,Maize
